"Full Name","Preferred Name","Phone 1","E-mail Address","Street 1","Move-in Date","Read into ward","Sex","Birth","Group"
"Potter, Harry","Harry","801-555-7813","hpotter@aol.com","100 s 200 e #1","","","male","1/1/1990","1*"
"Granger, Hermione","Hermione","801-555-7814","hgranger@aol.com","100 s 200 e #1","","","female","1/1/1990","1*"
"Weasley, Ron","Ron","801-555-7815","rweasley@aol.com","100 s 200 e #1","","","male","1/1/1990","-1"
"Malfoy, Draco","Draco","801-555-7816","dmalfoy@aol.com","101 s 201 e #1","","","male","1/1/1990","2*"
"Filch, Argus","<none>","801-555-<none>","<none>@aol.com", "1148 S 900 E","","","male","1/1/1900","-1"
"Ravenclaw, Helena","<none>","801-555-<none>","<none>@aol.com","1174 S 900 E","","","female","1/1/1900","-1"
"Bagshot, Bathilda","<none>","801-555-<none>","<none>@aol.com", "1164 S 900 E","","","female","1/1/1900","-1"
"Edgecombe, Marietta","<none>","801-555-<none>","<none>@aol.com","916 E 1180 S","","","female","1/1/1900","-1"
"Delacour, Fleur","<none>","801-555-<none>","<none>@aol.com","925 E 1180 S","","","female","1/1/1900","-1"
"Wormtail","<none>","801-555-<none>","<none>@aol.com","933 E 1180 S","","","male","1/1/1900","-1"
"Rosmerta, Madam","<none>","801-555-<none>","<none>@aol.com","978 E 1180 S","","","female","1/1/1900","-1"
"Nagini","<none>","801-555-<none>","<none>@aol.com","968 E 1230 S","","","female","1/1/1900","-1"
"Trevor the Toad","<none>","801-555-<none>","<none>@aol.com","976 E 1230 S","","","male","1/1/1900","-1"
"Everard","<none>","801-555-<none>","<none>@aol.com","1256 S 960 E","","","male","1/1/1900","-1"
"Hagrid, Rubeus","<none>","801-555-<none>","<none>@aol.com","1275 S 960 E","","","male","1/1/1900","-1"
"Babbling, Bathsheba","<none>","801-555-<none>","<none>@aol.com","1144 S 1000 E","","","female","1/1/1900","-1"
"Bagman, Ludo","<none>","801-555-<none>","<none>@aol.com","1185 S 1000 E","","","male","1/1/1900","-1"
"Bell, Katie","<none>","801-555-<none>","<none>@aol.com","1237 S 1000 E","","","female","1/1/1900","-1"
"Binns, Cuthbert","<none>","801-555-<none>","<none>@aol.com","1014 E 1160 S","","","male","1/1/1900","-1"
"Black, Regulus","<none>","801-555-<none>","<none>@aol.com","1026 E 1160 S","","","male","1/1/1900","-1"
"Black, Sirius","<none>","801-555-<none>","<none>@aol.com","1026 E 1160 S","","","male","1/1/1900","-1"
"Bones, Amelia","<none>","801-555-<none>","<none>@aol.com","1059 E 1160 S","","","female","1/1/1900","-1"
"Bones, Susan","<none>","801-555-<none>","<none>@aol.com","1059 E 1160 S","","","female","1/1/1900","-1"
"Boot, Terry","<none>","801-555-<none>","<none>@aol.com","1187 S 1060 E","","","male","1/1/1900","-1"
"Bulstrode, Millicent","<none>","801-555-<none>","<none>@aol.com","1212 S 1060 E","","","female","1/1/1900","2*"
"Burbage, Charity","<none>","801-555-<none>","<none>@aol.com","1037 E 1270 S","","","female","1/1/1900","-1"
"Carrow, Alecto","<none>","801-555-<none>","<none>@aol.com","1032 E 1270 S","","","female","1/1/1900","-1"
"Carrow, Amycus","<none>","801-555-<none>","<none>@aol.com","1032 E 1270 S","","","male","1/1/1900","-1"
"Cattermole, Reginald","<none>","801-555-<none>","<none>@aol.com","1048 E 1270 S","","","male","1/1/1900","-1"
"Cattermole, Mary","<none>","801-555-<none>","<none>@aol.com","1048 E 1270 S","","","female","1/1/1900","-1"
"Diggory, Cedric","<none>","801-555-<none>","<none>@aol.com","1339 S 1400 E","","","male","1/1/1900","0*"
"Tonks, Nymphadora","<none>","801-555-<none>","<none>@aol.com","1354 S 1370 E","","","female","1/1/1900","0*"
